array,site,long,lat,easting_12n,northing_12n,start_date,end_date,camera_failure_details,deployment_id,array_visit
LU15,LU15_9,-112.97829,56.21596,377316.5699316274,6231876.399602427,2022-09-12,2023-09-12,NA,NA,LU15_2022
LU15,LU15_24,-113.04411000000002,56.21198,373222.26250159263,6231552.644362559,2022-09-12,2023-09-12,NA,NA,LU15_2022
LU15,LU15_46,-113.02529999999999,56.21193,374388.5278243866,6231512.639791253,2022-09-12,2023-09-12,NA,NA,LU15_2022
LU15,LU15_40,-112.73063,56.18027,392573.5519461748,6227491.504812227,2022-09-12,2023-09-12,NA,NA,LU15_2022
LU15,LU15_16,-112.76156000000002,56.17765,390646.393808054,6227248.568999442,2022-09-12,2023-09-12,NA,NA,LU15_2022
LU15,LU15_4,-112.92477,56.17984,380522.88200498204,6227763.093384468,2022-09-12,2023-09-12,NA,NA,LU15_2022
LU15,LU15_36,-112.95157,56.17767,378852.7207795314,6227568.387544958,2022-09-12,2023-09-12,NA,NA,LU15_2022
LU15,LU15_3,-113.04402000000002,56.17757,373114.29236907884,6227723.54488496,2022-09-12,2023-09-12,NA,NA,LU15_2022
LU15,LU15_15,-113.06137,56.1834,372056.8388989137,6228404.331965728,2022-09-12,2023-09-12,NA,NA,LU15_2022
LU15,LU15_14,-113.07427,56.169160000000005,371208.63004443573,6226843.821752284,2022-09-12,2023-09-12,NA,NA,LU15_2022
LU15,LU15_22,-112.88846999999998,56.39487999999999,383432.152655207,6251630.289285858,2022-09-11,2023-09-14,NA,NA,LU15_2022
LU15,LU15_61,-112.90440000000001,56.385130000000004,382418.9507153663,6250572.416531802,2022-09-11,2023-09-14,NA,NA,LU15_2022
LU21,LU21_106,-112.03402000000001,56.56523000000001,436456.1635078832,6269469.572345366,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_10,-111.99360000000001,56.59103,438981.56925743923,6272304.462227466,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_16,-111.97281,56.625220000000006,440312.21555504366,6276091.586833734,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_107,-111.93458000000001,56.56608,442568.13358018413,6269476.565340248,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_41,-111.90783,56.66848,444362.72741277807,6280851.930425276,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_63,-111.96631000000001,56.60868,440685.0871134181,6274245.012039926,2022-09-20,2023-06-07,NA,NA,LU21_2022
LU21,LU21_27,-112.14841,56.62148,429531.6492898697,6275841.888197901,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_23,-112.20293,56.59241000000001,426129.67770871596,6272663.765477277,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_21,-112.1497,56.566300000000005,429349.60745790834,6269701.72267447,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_82,-112.16532999999998,56.529900000000005,428320.41948923055,6265666.662961301,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_871,-112.09488,56.55634,432700.51561883115,6268538.108624721,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_164,-111.93586,56.61886,442569.58453788667,6275352.165597901,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_36,-111.94768000000002,56.64851000000001,441889.8504883785,6278662.24832146,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_14,-112.09007,56.61864,433106.291729833,6275467.394560907,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_32,-112.16299,56.638760000000005,428669.65114352957,6277780.216576908,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_126,-112.17957999999999,56.62290000000001,427621.8287353436,6276032.383011452,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_122,-112.17445,56.57432,427844.04605117964,6270620.0810455885,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_56,-112.187,56.55825,427042.1145643776,6268844.78193593,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_57,-112.14105,56.56273000000001,429874.5279454236,6269295.517381342,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_9,-112.06113,56.58638,434826.6315991096,6271848.993304222,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_98,-111.87948999999999,56.51305,445877.82872147375,6263529.4971444085,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_119,-112.00047799999999,56.57495,438533.11024036794,6270520.875414853,2022-09-20,2023-10-02,NA,NA,LU21_2022
LU21,LU21_52,-111.93567,56.53988,442461.41451836174,6266561.3788411515,2022-09-20,2023-09-25,NA,NA,LU21_2022
LU21,LU21_59,-111.58272999999998,56.56464,464188.2997858943,6269077.355030616,2022-09-17,2023-10-02,NA,NA,LU21_2022
LU21,LU21_68,-111.71055000000001,56.63286,456411.8770615854,6276744.549557965,2022-09-17,2023-10-02,NA,NA,LU21_2022
LU21,LU21_109,-111.90173,56.56289,444582.1036626353,6269094.513999412,2022-09-17,2023-09-25,NA,NA,LU21_2022
LU21,LU21_93,-111.84483,56.56624,448083.5099951249,6269422.898809442,2022-09-17,2023-10-02,NA,NA,LU21_2022
LU21,LU21_114,-111.73336,56.55014,454914.2656503903,6267552.174327797,2022-09-17,2023-10-02,NA,NA,LU21_2022
LU21,LU21_105,-111.68692999999999,56.55542,457774.52757166827,6268110.340271657,2022-09-17,2023-10-02,NA,NA,LU21_2022
LU21,LU21_100,-111.90392000000001,56.53842,444411.6623220557,6266372.728073668,2022-09-17,2023-09-25,NA,NA,LU21_2022
LU21,LU21_74,-111.86436,56.51803,446815.8474417375,6264071.961809687,2022-09-17,2023-09-25,NA,NA,LU21_2022
LU21,LU21_78,-111.82865,56.52056,449016.42305042094,6264326.479208799,2022-09-17,2023-10-02,NA,NA,LU21_2022
LU21,LU21_153,-111.78556999999999,56.550459999999994,451704.9666780816,6267623.291786216,2022-09-17,2023-10-02,NA,NA,LU21_2022
LU21,LU21_6,-111.67987999999998,56.519659999999995,458168.47854948515,6264125.797611713,2022-09-17,2023-10-02,NA,NA,LU21_2022
LU21,LU21_116,-111.63882999999998,56.55143999999999,460727.0552528939,6267638.803909827,2022-09-17,2023-10-02,NA,NA,LU21_2022
LU21,LU21_97,-111.59376999999999,56.57623,463521.00306775887,6270373.196170448,2022-09-17,2023-10-02,NA,NA,LU21_2022
LU1,LU1_13,-110.72349,54.60634,517860.66818018013,6051021.891309919,2022-06-13,2023-09-10,NA,NA,LU1_2022
LU1,LU1_30,-110.82257999999999,54.734320000000004,511424.15943137114,6065241.908204695,2022-06-13,2023-09-10,NA,NA,LU1_2022
LU1,LU1_85,-110.71049000000001,54.73971000000001,518639.19765712455,6065865.68579549,2022-06-13,2023-05-25,NA,NA,LU1_2022
LU1,LU1_66,-110.72408,54.707770000000004,517778.22296196065,6062308.085680805,2022-06-14,2023-09-10,NA,NA,LU1_2022
LU1,LU1_76,-110.70893,54.70008,518757.9210049606,6061456.338101148,2022-06-14,2022-12-26,NA,NA,LU1_2022
LU1,LU1_73,-110.70935,54.675050000000006,518742.38346785546,6058671.068673693,2022-06-14,2023-09-10,NA,NA,LU1_2022
LU1,LU1_75,-110.69172999999999,54.68616,519873.16744600306,6059912.152166309,2022-06-14,2023-09-10,NA,NA,LU1_2022
LU1,LU1_47,-110.48721000000002,54.617839999999994,533113.3118253504,6052387.198038379,2022-06-15,2023-09-09,NA,NA,LU1_2022
LU1,LU1_74,-110.26517,54.66743,547393.5628430925,6058032.326147448,2022-06-15,2023-09-10,NA,NA,LU1_2022
LU1,LU1_44,-110.47691,54.59921000000001,533793.854956572,6050319.135362371,2022-06-15,2023-09-09,NA,NA,LU1_2022
LU1,LU1_41,-110.29359000000001,54.594100000000005,545642.6551964608,6049854.132664412,2022-06-15,2023-09-10,NA,NA,LU1_2022
