array,site,buffer_dist,array_visit,ndvi
LU14,LU14_131,50,LU14_2023,0.7129333333333333
LU14,LU14_135,50,LU14_2023,0.6450083333333333
LU14,LU14_16,50,LU14_2023,0.7428614583333334
LU14,LU14_17,50,LU14_2023,0.7345479166666667
LU14,LU14_19,50,LU14_2023,0.6719760416666667
LU14,LU14_20,50,LU14_2023,0.6901260416666667
LU14,LU14_250,50,LU14_2023,0.7207510416666667
LU14,LU14_30,50,LU14_2023,0.687596875
LU14,LU14_31,50,LU14_2023,0.7098135416666667
LU14,LU14_33,50,LU14_2023,0.7213416666666668
LU14,LU14_37,50,LU14_2023,0.7273020833333333
LU14,LU14_47,50,LU14_2023,0.7505937500000001
LU14,LU14_48,50,LU14_2023,0.7276541666666667
LU14,LU14_49,50,LU14_2023,0.727075
LU14,LU14_51,50,LU14_2023,0.73408125
LU14,LU14_54,50,LU14_2023,0.6912416666666668
LU14,LU14_56,50,LU14_2023,0.7274729166666667
LU14,LU14_57,50,LU14_2023,0.7157010416666667
LU14,LU14_61,50,LU14_2023,0.6675229166666667
LU14,LU14_62,50,LU14_2023,0.6825020833333333
LU14,LU14_63,50,LU14_2023,0.7282000000000001
LU14,LU14_66,50,LU14_2023,0.6767791666666667
LU14,LU14_70,50,LU14_2023,0.7156958333333333
LU14,LU14_71,50,LU14_2023,0.735075
LU14,LU14_72,50,LU14_2023,0.7127020833333333
LU14,LU14_74,50,LU14_2023,0.732225
LU14,LU14_76,50,LU14_2023,0.6793291666666668
LU14,LU14_78,50,LU14_2023,0.7602479166666667
LU14,LU14_80,50,LU14_2023,0.7009895833333334
LU14,LU14_84,50,LU14_2023,0.694590625
LU14,LU14_85,50,LU14_2023,0.6785541666666667
LU14,LU14_86,50,LU14_2023,0.7454020833333334
LU14,LU14_88,50,LU14_2023,0.72543125
LU14,LU14_91,50,LU14_2023,0.6918083333333334
LU14,LU14_92,50,LU14_2023,0.7023739583333333
LU14,LU14_96,50,LU14_2023,0.7379187500000001
LU14,LU14_97,50,LU14_2023,0.7093281250000001
LU14,LU14_75,50,LU14_2023,0.7253395833333334
LU16,LU16_2,50,LU16_2023,0.7104572916666667
LU16,LU16_3,50,LU16_2023,0.68338020833333335
LU16,LU16_15,50,LU16_2023,0.6934458333333333
LU16,LU16_20,50,LU16_2023,0.6964
LU16,LU16_200,50,LU16_2023,0.723409375
LU16,LU16_201,50,LU16_2023,0.6487520833333333
LU16,LU16_202,50,LU16_2023,0.7325541666666666
LU16,LU16_203,50,LU16_2023,0.7733541666666668
LU16,LU16_22,50,LU16_2023,0.6921
LU16,LU16_23,50,LU16_2023,0.7003375000000001
LU16,LU16_24,50,LU16_2023,0.5559659722222223
LU16,LU16_25,50,LU16_2023,0.7193833333333334
LU16,LU16_26,50,LU16_2023,0.6546666666666666
LU16,LU16_270,50,LU16_2023,0.6847708333333333
LU16,LU16_28,50,LU16_2023,0.7418854166666666
LU16,LU16_300,50,LU16_2023,0.6608666666666667
LU16,LU16_301,50,LU16_2023,0.34215625000000005
LU16,LU16_302,50,LU16_2023,0.6562770833333333
LU16,LU16_303,50,LU16_2023,0.6705072916666667
LU16,LU16_313,50,LU16_2023,0.6710541666666667
LU16,LU16_314,50,LU16_2023,0.674190625
LU16,LU16_36,50,LU16_2023,0.6749395833333334
LU16,LU16_37,50,LU16_2023,0.7424958333333334
LU16,LU16_49,50,LU16_2023,0.6107458333333333
LU16,LU16_52,50,LU16_2023,0.5846395833333333
LU16,LU16_54,50,LU16_2023,0.5936604166666667
LU16,LU16_55,50,LU16_2023,0.58611875
LU16,LU16_57,50,LU16_2023,0.5626854166666667
LU16,LU16_58,50,LU16_2023,0.5740645833333333
LU16,LU16_60,50,LU16_2023,0.6231635416666668
LU16,LU16_62,50,LU16_2023,0.5714125
LU16,LU16_63,50,LU16_2023,0.612825
LU16,LU16_64,50,LU16_2023,0.6429916666666667
LU16,LU16_67,50,LU16_2023,0.5786354166666667
LU16,LU16_68,50,LU16_2023,0.5012208333333333
LU16,LU16_69,50,LU16_2023,0.6353333333333333
LU16,LU16_70,50,LU16_2023,0.5748427083333334
LU16,LU16_71,50,LU16_2023,0.5387020833333334
LU16,LU16_72,50,LU16_2023,0.644715625
LU16,LU16_73,50,LU16_2023,0.5615187500000001
LU16,LU16_74,50,LU16_2023,0.6300656250000001
LU16,LU16_75,50,LU16_2023,0.4454041666666667
LU16,LU16_77,50,LU16_2023,0.5421708333333334
LU16,LU16_80,50,LU16_2023,0.5719333333333333
LU16,LU16_81,50,LU16_2023,0.5053135416666668
LU16,LU16_83,50,LU16_2023,0.6000833333333334
LU16,LU16_84,50,LU16_2023,0.6257343750000001
LU16,LU16_85,50,LU16_2023,0.57665625
LU16,LU16_88,50,LU16_2023,0.5607072916666667
LU22,LU22_110,50,LU22_2023,0.7480145833333334
LU22,LU22_48,50,LU22_2023,0.7612916666666667
